day,mean_S,sd_S,mean_I,sd_I,mean_R,sd_R
740,3891.3,189.03970482414536,416.2,37.41069365836458,995012.2,432.82832624494444
741,3896.3,183.18681721128297,418.2,39.300890575151094,995012.1,438.98279009546604
742,3893.7,184.841580819901,410.6,41.30665805896187,995014.5,437.8701291479016
743,3893.1,184.34611468647773,401.7,41.890452372825955,995013.9,435.44309616757045
744,3895.2,180.13428324447295,400.7,50.82725646737191,995011.7,432.82307008753594
745,3895.1,174.51615971021138,394.8,49.58790175032616,995017.5,427.7490502619497
746,3894.0,171.17067505855084,386.1,47.132685049761385,995019.6,433.73729376201896
747,3902.2,171.65127439084162,388.6,43.92539129023212,995012.9,440.06964221586566
748,3910.8,171.42391898448713,395.0,44.494943532945406,995010.8,441.18948310221543
749,3914.3,167.5876188744264,398.4,36.111494015063954,995005.0,444.3759669469086
750,3917.3,168.78450758289398,396.6,36.516297731287054,995009.1,456.6822637239156
751,3921.4,162.44888426825221,399.7,35.527594908746636,994998.2,456.5003395398519
752,3922.7,162.0938308511462,398.7,34.920051546353704,994996.1,459.6447432528735
753,3923.8,157.8111529645481,399.9,37.399064159414465,994994.2,460.1497147668355
754,3930.0,154.6673850558029,392.0,39.68878934913485,994993.6,460.42593324008146
755,3938.4,158.58007441037478,387.7,46.733392772192346,994990.9,462.80740054584265
756,3939.4,155.37000997618557,388.6,54.3308383885248,994985.9,464.58701014987497
757,3942.7,145.62764160694218,387.2,55.74908070990947,994985.9,470.6137375810443
758,3948.0,152.1512405470294,378.9,56.60644839592041,994987.8,471.31301700674476
759,3956.6,154.60025873199564,382.9,51.89691705679635,994978.9,473.5137695991533
760,3951.0,158.7564171931327,386.0,42.619244479460214,994972.4,476.83292671542716
761,3960.8,158.10490188479295,385.5,37.470655185091175,994971.2,477.8551663422716
762,3960.8,154.7157393415421,381.0,36.753231150471656,994968.9,477.81805114499394
763,3960.3,148.95573167891192,385.1,38.286942944037726,994962.3,477.7440842124579
764,3964.1,148.50754189602628,381.8,42.66098920559626,994964.0,486.4232724695643
765,3965.2,151.85637951696333,382.7,44.13626626709604,994960.1,485.8578907458435
766,3962.0,158.66505601423395,379.7,46.86373864727397,994958.3,493.64178307756737
767,3967.3,155.87434041560527,385.9,44.055533137166776,994947.7,502.3126615963409
768,3971.0,156.52923049705444,383.4,48.50195872333405,994945.9,507.21858207285743
769,3974.4,164.923739952743,385.2,40.88716179927386,994945.5,505.28729451669375
770,3984.7,166.82209086329064,386.5,39.89047505357639,994945.1,504.45841255746745
771,3986.8,165.52449969717472,387.0,39.62574920427373,994939.0,501.66901439096273
772,3993.9,160.3586293281406,383.3,48.22250511949789,994935.4,503.05749174423386
773,3998.6,161.91244547594235,390.3,42.75289463884288,994925.7,502.22645290745095
774,3999.3,160.9428780654801,388.4,43.20694388637086,994922.4,503.96769737752044
775,3999.0,165.42732543325482,381.9,46.317275394824335,994924.5,499.39888866516316
776,4007.9,166.55236413812926,383.3,44.46582957732825,994917.6,505.9037853189082
777,4013.8,165.17735922335117,381.8,47.25632232834037,994909.9,505.9064043872147
778,4018.7,175.54147658032275,377.8,49.6685010846915,994907.4,502.25276504963114
779,4017.8,177.39323549673475,376.7,43.945534471661624,994900.5,505.5989022931122
780,4016.1,177.53109586773806,379.5,39.73222873184941,994896.4,514.8077699491336
781,4019.8,182.2766029966545,387.5,41.74505958793208,994895.2,518.6861864364619
782,4026.7,180.53035755794647,392.9,36.27519813867321,994891.3,524.4450495523816
783,4028.5,183.01270447703897,391.0,37.61914406256474,994886.0,530.426997804599
784,4035.2,184.1834954603696,394.0,41.686928406875936,994879.9,521.753667931525
785,4028.3,189.03547286157698,394.2,48.938328537047525,994876.2,516.3018109594426
786,4029.3,194.88409375831574,388.7,48.29917183555014,994879.5,518.7815050674031
787,4026.5,190.0943186946943,385.9,47.61816880141444,994878.5,519.5281031859586
788,4026.1,193.5166401113868,386.2,44.348167944121435,994871.2,519.9211094002628
789,4026.5,193.4141928608136,382.7,42.839351068847904,994867.3,524.2014975178915
790,4025.6,194.82515238028174,384.0,38.55904563134311,994862.5,528.4960264751287
791,4031.2,191.55719772433505,380.5,36.133779210041126,994852.7,524.4317019403004
792,4032.4,194.7584144523671,389.2,33.570224902434,994842.7,532.2717445065068
793,4038.6,193.6218995878307,393.3,35.24216224921507,994837.5,529.8145430242548
794,4045.6,191.39341681468568,402.0,31.962478001556764,994830.6,533.0705769408024
795,4045.2,185.1225540013966,401.9,30.07806509734295,994826.7,529.524701973383
796,4036.6,185.22645599373757,405.1,34.699999999999996,994822.0,526.6864342281848
797,4024.8,181.65725969528444,396.5,37.83979386836033,994829.4,528.9072130345737
798,4024.9,178.75203495345164,390.1,37.23022965279693,994829.5,523.8402905466513
799,4027.7,172.54393643359361,385.7,37.36589353942978,994829.0,520.2161089393522
800,4029.7,179.5973552143795,384.4,32.063062860556535,994820.9,517.0849930137211
801,4031.9,179.94802027252203,384.6,34.284690460903974,994819.9,510.2400317497639
802,4033.2,184.87877109067983,388.5,38.02433431369969,994812.8,509.2476411334667
803,4041.9,185.66768701096055,398.9,37.00662102921584,994806.2,511.04966490547673
804,4037.2,180.0043332811741,410.6,32.628821615252974,994805.1,513.5765668330283
805,4033.1,172.05722885133306,414.5,31.903761533712604,994796.4,516.566975328466
806,4028.3,170.1969741211635,416.3,37.89736138572183,994796.7,521.9182024034035
807,4025.6,166.30706539410764,414.7,40.78737549781795,994796.8,513.6619121562354
808,4030.7,174.33304333946563,410.4,42.52810835200645,994800.8,510.87665830413516
809,4019.1,177.02454632055975,401.1,43.780018273180296,994815.2,507.3321988598792
810,4015.5,178.8425284992359,394.4,41.91228936720112,994815.8,500.00535997127076
811,4012.8,174.41089415515304,397.1,42.94054028537601,994821.5,494.3355641666903
812,4013.6,183.71564985052305,404.9,38.043264844121886,994818.4,497.10707096157864
813,4016.9,185.2552023561012,413.4,40.32418629061224,994818.9,490.1378275546584
814,4011.2,186.03483544755804,422.0,42.619244479460214,994820.0,488.43259514491865
815,4002.4,181.88908708331022,431.5,39.517717545425114,994819.6,480.98631997178467
816,3994.3,174.60243411819894,435.9,42.54280197636258,994822.9,478.13773120304995
817,3983.9,180.1185442979151,431.1,47.01584839179231,994832.7,473.65621499142185
818,3978.0,184.2867331090331,421.8,50.5841872525397,994842.2,475.9831509623004
819,3976.4,190.58814233839416,415.0,50.11586575127681,994852.0,472.9739950568107
820,3977.1,193.55952572787524,409.1,50.03688639393942,994853.3,474.6280754443421
821,3978.1,196.8925849289404,407.8,44.83257744096362,994860.3,471.20272707190486
822,3970.9,194.03837249369002,412.6,44.93372897946486,994857.2,463.0984344607527
823,3962.6,194.09028826811505,420.7,45.099999999999994,994857.3,454.7247629060903
824,3962.0,189.48773047350585,432.5,44.529203900361836,994861.0,452.8849743588321
825,3957.3,184.87512001348372,440.9,47.028608314514265,994856.3,456.375295124528
826,3947.4,180.5315484894538,441.5,48.09417844188629,994861.1,452.98972394525686
827,3940.6,175.99784089584736,435.0,52.29722745997153,994863.5,454.19604797928395
828,3928.2,191.75651227533317,428.4,53.36890480420223,994871.5,454.02648601155414
829,3926.4,192.8378593533956,422.3,53.732764678546,994885.6,450.30438594355263
830,3919.2,185.74487879885143,422.4,50.02839193897801,994895.5,444.6486815453297
831,3911.0,197.05329228409252,419.0,52.44425612018918,994904.3,442.04367431284436
832,3912.3,194.22875688218778,426.9,49.433692963403004,994904.3,436.31090978796306
833,3911.5,198.1329099367392,434.6,51.540663558010195,994904.3,430.59192978967917
834,3906.4,193.30814778482565,439.2,53.88840320514238,994909.8,419.6741116628473
835,3892.0,195.52851454455435,446.4,55.29231411326532,994914.1,413.8653041751628
836,3881.2,199.291143807245,446.0,50.5390937789747,994917.1,403.5124409482315
837,3876.8,199.46167551687716,446.8,49.97559404349287,994924.3,407.0646263187211
838,3865.3,197.71497161317853,443.3,50.283297425685994,994929.9,405.1158969973901
839,3858.1,194.67329041242405,434.2,43.57705818432447,994938.9,403.2846265356516
840,3866.3,201.71368322451505,425.6,38.51804771792049,994951.5,396.44602406885105
841,3856.0,204.18031246915066,426.9,49.23504849190259,994953.7,393.97691556739716
842,3855.0,207.14873883275274,430.2,53.18044753478481,994961.3,388.88817158664006
843,3851.9,208.15208382334296,434.9,55.67665579037592,994969.3,386.7598867514572
844,3850.2,211.89044338997454,432.9,57.48295399507579,994975.3,383.5995437953492
